Date,Price,Open,High,Low,Change %
Mar 09,1.5104,1.4789,1.5452,1.4577,1.83%
Feb 09,1.4832,1.4841,1.5158,1.4700,-0.05%
Jan 09,1.4840,1.4963,1.5207,1.4654,-0.63%
Dec 08,1.4934,1.5424,1.5892,1.4753,-3.11%
Nov 08,1.5413,1.4756,1.5536,1.4711,4.55%
Oct 08,1.4742,1.5818,1.5831,1.4301,-6.76%
Sep 08,1.5811,1.6147,1.6168,1.5667,-2.17%
Aug 08,1.6162,1.6342,1.6358,1.6089,-1.10%
Jul 08,1.6341,1.6085,1.6393,1.5987,1.59%
Jun 08,1.6085,1.6213,1.6279,1.6020,-0.78%
May 08,1.6212,1.6166,1.6383,1.6066,0.25%
Apr 08,1.6171,1.5679,1.6256,1.5661,3.09%
Mar 08,1.5686,1.5805,1.5884,1.5372,-0.76%
Feb 08,1.5806,1.6072,1.6235,1.5797,-1.62%
Jan 08,1.6067,1.6533,1.6562,1.5812,-2.87%
Dec 07,1.6541,1.6550,1.6747,1.6444,-0.18%
Nov 07,1.6570,1.6771,1.6795,1.6294,-1.22%
Oct 07,1.6774,1.6619,1.6831,1.6568,0.95%
Sep 07,1.6616,1.6459,1.6621,1.6327,0.86%
Aug 07,1.6475,1.6422,1.6540,1.6169,0.30%
Jul 07,1.6426,1.6535,1.6689,1.6410,-0.70%
Jun 07,1.6542,1.6479,1.6675,1.6414,0.37%
May 07,1.6481,1.6472,1.6617,1.6410,0.04%
Apr 07,1.6475,1.6224,1.6492,1.6203,1.46%
Mar 07,1.6238,1.6138,1.6276,1.5921,0.67%
Feb 07,1.6130,1.6211,1.6296,1.6078,-0.48%
Jan 07,1.6208,1.6073,1.6265,1.6035,0.80%
Dec 06,1.6080,1.5863,1.6107,1.5850,1.32%
Nov 06,1.5871,1.5875,1.6017,1.5805,-0.05%
Oct 06,1.5879,1.5853,1.5969,1.5816,0.20%
Sep 06,1.5848,1.5768,1.5970,1.5749,0.55%
Aug 06,1.5762,1.5706,1.5852,1.5697,0.27%
Jul 06,1.5719,1.5636,1.5791,1.5581,0.53%
Jun 06,1.5636,1.5613,1.5691,1.5482,0.15%
May 06,1.5612,1.5632,1.5682,1.5445,-0.26%
Apr 06,1.5653,1.5802,1.5861,1.5627,-0.93%
Mar 06,1.5800,1.5637,1.5824,1.5576,1.01%
Feb 06,1.5642,1.5534,1.5682,1.5511,0.70%
Jan 06,1.5533,1.5567,1.5578,1.5399,-0.15%
Dec 05,1.5556,1.5499,1.5659,1.5344,0.34%
Nov 05,1.5504,1.5449,1.5524,1.5351,0.33%
Oct 05,1.5453,1.5543,1.5574,1.5411,-0.71%
Sep 05,1.5564,1.5458,1.5596,1.5391,0.63%
Aug 05,1.5467,1.5617,1.5686,1.5425,-1.04%
Jul 05,1.5629,1.5502,1.5673,1.5429,0.74%
Jun 05,1.5514,1.5348,1.5537,1.5279,1.00%
May 05,1.5360,1.5383,1.5532,1.5340,-0.20%
Apr 05,1.5391,1.5505,1.5589,1.5339,-0.77%
Mar 05,1.5510,1.5375,1.5585,1.5332,0.85%
Feb 05,1.5379,1.5497,1.5637,1.5338,-0.75%
Jan 05,1.5495,1.5445,1.5552,1.5382,0.40%
Dec 04,1.5433,1.5151,1.5506,1.5107,1.86%
Nov 04,1.5151,1.5272,1.5390,1.4980,-0.81%
Oct 04,1.5275,1.5484,1.5566,1.5235,-1.39%
Sep 04,1.5490,1.5417,1.5555,1.5223,0.41%
Aug 04,1.5426,1.5366,1.5502,1.5276,0.16%
Jul 04,1.5402,1.5228,1.5461,1.5120,1.09%
Jun 04,1.5236,1.5280,1.5334,1.5017,-0.32%
May 04,1.5285,1.5527,1.5571,1.5239,-1.67%
Apr 04,1.5545,1.5581,1.5697,1.5411,-0.24%
Mar 04,1.5582,1.5750,1.5933,1.5448,-1.19%
Feb 04,1.5769,1.5674,1.5826,1.5612,0.52%
Jan 04,1.5687,1.5601,1.5742,1.5452,0.52%
Dec 03,1.5606,1.5490,1.5663,1.5430,0.79%
Nov 03,1.5484,1.5512,1.5756,1.5407,-0.28%
Oct 03,1.5527,1.5368,1.5556,1.5344,1.06%
Sep 03,1.5364,1.5368,1.5633,1.5283,-0.04%
Aug 03,1.5370,1.5382,1.5521,1.5277,-0.14%
Jul 03,1.5391,1.5535,1.5603,1.5279,-1.02%
Jun 03,1.5550,1.5213,1.5565,1.5204,1.67%
May 03,1.5295,1.5142,1.5334,1.5004,0.91%
Apr 03,1.5157,1.4740,1.5163,1.4729,2.75%
Mar 03,1.4752,1.4606,1.4842,1.4557,0.97%
Feb 03,1.4610,1.4688,1.4740,1.4572,-0.54%
Jan 03,1.4689,1.4494,1.4717,1.4466,1.26%
Dec 02,1.4506,1.4734,1.4809,1.4427,-1.65%
Nov 02,1.4750,1.4622,1.4782,1.4564,0.81%
Oct 02,1.4631,1.4563,1.4726,1.4532,0.43%
Sep 02,1.4568,1.4656,1.4752,1.4527,-1.04%
Aug 02,1.4721,1.4501,1.4747,1.4425,1.39%
Jul 02,1.4519,1.4680,1.4762,1.4420,-1.13%
Jun 02,1.4685,1.4635,1.4798,1.4609,0.15%
May 02,1.4663,1.4554,1.4708,1.4469,0.72%
Apr 02,1.4558,1.4640,1.4734,1.4538,-0.72%
Mar 02,1.4663,1.4738,1.4821,1.4564,-0.58%
Feb 02,1.4748,1.4767,1.4856,1.4680,-0.12%
Jan 02,1.4766,1.4781,1.4889,1.4618,-0.13%
Dec 01,1.4785,1.4709,1.4906,1.4582,0.48%
Nov 01,1.4715,1.4702,1.4782,1.4506,0.02%
Oct 01,1.4712,1.4774,1.4922,1.4631,-0.39%
Sep 01,1.4770,1.5103,1.5210,1.4382,-2.59%
Aug 01,1.5163,1.5118,1.5269,1.5009,0.23%
Jul 01,1.5128,1.5234,1.5285,1.4992,-0.79%
Jun 01,1.5249,1.5179,1.5338,1.5107,0.34%
May 01,1.5197,1.5382,1.5523,1.5174,-1.32%
Apr 01,1.5400,1.5240,1.5416,1.5023,0.72%
Mar 01,1.5290,1.5413,1.5477,1.5163,-0.84%
Feb 01,1.5419,1.5309,1.5451,1.5249,0.67%
Jan 01,1.5317,1.5174,1.5479,1.5042,0.91%
Dec 00,1.5179,1.5082,1.5328,1.4978,0.61%
Nov 00,1.5087,1.5270,1.5484,1.5040,-1.16%
Oct 00,1.5264,1.5267,1.5309,1.4838,0.15%
Sep 00,1.5241,1.5460,1.5674,1.5038,-1.52%
Aug 00,1.5476,1.5472,1.5676,1.5355,0.01%
Jul 00,1.5475,1.5557,1.5602,1.5399,-0.60%
Jun 00,1.5569,1.5751,1.5800,1.5419,-1.26%
May 00,1.5768,1.5656,1.5829,1.5373,0.68%
Apr 00,1.5662,1.5900,1.5923,1.5627,-1.60%
Mar 00,1.5916,1.6056,1.6188,1.5840,-0.88%
Feb 00,1.6058,1.6076,1.6345,1.5995,-0.02%
Jan 00,1.6061,1.6020,1.6177,1.5976,0.22%
Dec 99,1.6026,1.6011,1.6208,1.5912,0.04%
Nov 99,1.6019,1.6038,1.6180,1.5952,-0.14%
Oct 99,1.6042,1.5962,1.6066,1.5831,0.33%
Sep 99,1.5989,1.6001,1.6119,1.5913,-0.07%
Aug 99,1.6000,1.5929,1.6079,1.5866,0.25%
Jul 99,1.5960,1.6036,1.6165,1.5929,-0.46%
Jun 99,1.6033,1.5906,1.6092,1.5808,0.74%
May 99,1.5915,1.6106,1.6156,1.5873,-1.20%
Apr 99,1.6109,1.5964,1.6168,1.5859,0.95%
Mar 99,1.5958,1.5899,1.6145,1.5839,0.03%
Feb 99,1.5954,1.6101,1.6119,1.5842,-0.81%
Jan 99,1.6085,1.6096,1.6323,1.5766,-0.14%
Dec 98,1.6107,1.6170,1.6191,1.5742,-0.41%
Nov 98,1.6174,1.6000,1.6297,1.5960,0.70%
Oct 98,1.6061,1.6250,1.6357,1.5685,-1.22%
Sep 98,1.6260,1.6177,1.6403,1.5985,0.43%
Aug 98,1.6190,1.6499,1.6661,1.5900,-2.00%
Jul 98,1.6520,1.6694,1.6788,1.6440,-0.89%
Jun 98,1.6669,1.6345,1.6735,1.6255,1.91%
May 98,1.6356,1.6528,1.6576,1.6157,-1.13%
Apr 98,1.6543,1.6373,1.6564,1.6273,0.85%
Mar 98,1.6404,1.5950,1.6431,1.5896,2.78%
Feb 98,1.5961,1.5956,1.6054,1.5788,0.17%
Jan 98,1.5934,1.6045,1.6212,1.5741,-0.84%
Dec 97,1.6069,1.5990,1.6161,1.5860,0.33%
Nov 97,1.6016,1.5971,1.6190,1.5906,0.07%
Oct 97,1.6005,1.6102,1.6460,1.5822,-0.59%
Sep 97,1.6100,1.6179,1.6258,1.5990,-0.84%
Aug 97,1.6236,1.6226,1.6331,1.5940,0.05%
Jul 97,1.6228,1.6457,1.6553,1.5984,-1.45%
Jun 97,1.6467,1.6107,1.6480,1.6028,2.03%
May 97,1.6139,1.6560,1.6674,1.5980,-2.67%
Apr 97,1.6582,1.6878,1.6894,1.6454,-1.83%
Mar 97,1.6891,1.6976,1.6990,1.6502,-0.36%
Feb 97,1.6952,1.6790,1.7054,1.6596,0.93%
Jan 97,1.6796,1.6816,1.7044,1.6670,-0.14%
Dec 96,1.6820,1.6343,1.6846,1.6151,2.84%
Nov 96,1.6356,1.6029,1.6395,1.5913,1.99%
Oct 96,1.6037,1.5667,1.6072,1.5591,2.24%
Sep 96,1.5686,1.5289,1.5772,1.5273,2.56%
Aug 96,1.5295,1.5282,1.5379,1.5118,0.02%
Jul 96,1.5292,1.5595,1.5719,1.5157,-1.95%
Jun 96,1.5596,1.5453,1.5669,1.5414,0.80%
May 96,1.5472,1.5256,1.5611,1.5199,1.33%
Apr 96,1.5269,1.4970,1.5338,1.4900,2.22%
Mar 96,1.4937,1.5072,1.5153,1.4869,-0.99%
Feb 96,1.5086,1.4935,1.5145,1.4799,0.77%
Jan 96,1.4971,1.4726,1.5073,1.4667,1.53%
Dec 95,1.4745,1.5010,1.5047,1.4666,-1.75%
Nov 95,1.5007,1.4805,1.5032,1.4653,1.47%
Oct 95,1.4789,1.4976,1.5041,1.4613,-1.22%
Sep 95,1.4972,1.5315,1.5460,1.4658,-2.39%
Aug 95,1.5339,1.5437,1.5864,1.5263,-0.69%
Jul 95,1.5446,1.5280,1.5547,1.5222,0.96%
Jun 95,1.5299,1.5224,1.5455,1.5058,0.41%
May 95,1.5236,1.5173,1.5589,1.4956,0.42%
Apr 95,1.5172,1.4985,1.5429,1.4816,0.85%
Mar 95,1.5044,1.5717,1.5840,1.4814,-4.45%
Feb 95,1.5745,1.5938,1.6059,1.5653,-1.21%
Jan 95,1.5938,1.6071,1.6098,1.5772,-0.76%
Dec 94,1.6060,1.6109,1.6239,1.5759,-0.45%
Nov 94,1.6132,1.5920,1.6210,1.5811,1.33%
Oct 94,1.5920,1.5867,1.6024,1.5629,0.46%
Sep 94,1.5847,1.6063,1.6125,1.5728,-1.42%
Aug 94,1.6076,1.6068,1.6215,1.5841,-0.70%
Jul 94,1.6189,1.6059,1.6300,1.5822,0.77%
Jun 94,1.6065,1.6405,1.6451,1.5983,-2.13%
May 94,1.6415,1.6358,1.6546,1.6300,0.15%
Apr 94,1.6391,1.6273,1.6553,1.6167,0.76%
Mar 94,1.6268,1.6152,1.6481,1.6138,0.66%
Feb 94,1.6162,1.6319,1.6416,1.6078,-0.98%
Jan 94,1.6322,1.6443,1.6622,1.6176,-1.44%
Dec 93,1.6561,1.6780,1.6832,1.6262,-1.31%
Nov 93,1.6780,1.6893,1.7083,1.6717,-0.78%
Oct 93,1.6912,1.6538,1.6960,1.6419,2.09%
Sep 93,1.6566,1.6697,1.6890,1.6473,-1.57%
Aug 93,1.6831,1.6730,1.7054,1.6375,0.97%
Jul 93,1.6670,1.7348,1.7514,1.6530,-4.11%
Jun 93,1.7384,1.7352,1.7654,1.7259,0.01%
May 93,1.7383,1.7634,1.7849,1.7325,-1.48%
Apr 93,1.7645,1.7971,1.8117,1.7521,-1.82%
Mar 93,1.7973,1.8034,1.8126,1.7657,-0.05%
Feb 93,1.7982,1.7982,1.8161,1.7660,-0.24%
Jan 93,1.8026,1.7687,1.8119,1.7532,2.03%
Dec 92,1.7668,1.7647,1.7907,1.7301,0.07%
Nov 92,1.7655,1.7484,1.8009,1.6576,0.80%
Oct 92,1.7515,1.7120,1.7628,1.6719,2.21%
Sep 92,1.7137,1.7999,1.8607,1.6654,-4.92%
Aug 92,1.8023,1.8133,1.8466,1.7827,-0.89%
Jul 92,1.8184,1.8463,1.8649,1.7844,-1.55%
Jun 92,1.8470,1.8595,1.8862,1.8363,-0.78%
May 92,1.8615,1.8713,1.9193,1.8535,-1.06%
Apr 92,1.8814,1.8803,1.9078,1.8589,0.94%
Mar 92,1.8638,1.8624,1.8729,1.8401,0.50%
Feb 92,1.8546,1.8536,1.8698,1.8005,2.01%
Jan 92,1.8180,1.8173,1.8452,1.7711,0.06%
Dec 91,1.8169,1.8159,1.8198,1.7849,0.92%
Nov 91,1.8003,1.7983,1.8234,1.7879,0.17%
Oct 91,1.7973,1.7959,1.8046,1.7813,0.78%
Sep 91,1.7834,1.7826,1.8096,1.7762,-0.61%
Aug 91,1.7944,1.7934,1.8500,1.7484,0.12%
Jul 91,1.7923,1.7917,1.8001,1.7601,1.64%
Jun 91,1.7633,1.7624,1.7861,1.7514,0.58%
May 91,1.7532,1.7522,1.7689,1.7233,1.41%
Apr 91,1.7289,1.7279,1.7827,1.7031,-1.31%
Mar 91,1.7518,1.7499,1.8087,1.7391,-1.71%
Feb 91,1.7823,1.7814,1.7884,1.7385,1.71%
Jan 91,1.7523,1.7509,1.7637,1.7055,0.85%
Dec 90,1.7375,1.7355,1.7837,1.7272,-0.79%
Nov 90,1.7514,1.7505,1.7837,1.7218,-0.44%
Oct 90,1.7592,1.7579,1.7739,1.6943,3.10%
Sep 90,1.7063,1.7053,1.7486,1.6938,-0.93%
Aug 90,1.7223,1.7209,1.7801,1.6735,-1.87%
Jul 90,1.7552,1.7546,1.7884,1.7306,0.32%
Jun 90,1.7496,1.7483,1.7625,1.7219,1.04%
May 90,1.7316,1.7305,1.7355,1.7305,-2.09%
Apr 90,1.7686,1.7674,1.7686,1.7674,-2.18%
Mar 90,1.8081,1.8070,1.8081,1.8070,0.36%
Feb 90,1.8017,1.8008,1.8017,1.8008,-0.81%
Jan 90,1.8165,1.8154,1.8165,1.8154,-1.06%
Dec 89,1.8359,1.8346,1.8359,1.8346,0.88%
Nov 89,1.8199,1.8188,1.8199,1.8188,1.16%
Oct 89,1.7990,1.7979,1.7990,1.7979,0.80%
Sep 89,1.7848,1.7848,1.7848,1.7848,-0.41%
Aug 89,1.7922,1.7922,1.7922,1.7922,0.11%
Jul 89,1.7903,1.7903,1.7903,1.7903,0.95%
Jun 89,1.7734,1.7734,1.7734,1.7734,-1.10%
May 89,1.7931,1.7931,1.7931,1.7931,-3.20%
Apr 89,1.8524,1.8524,1.8524,1.8524,1.60%
Mar 89,1.8233,1.8233,1.8233,1.8233,3.01%
Feb 89,1.7700,1.7700,1.7700,1.7700,-0.39%
